sep=,
"ID","Title","Created By","Created On","Estimate","Expected Result","Forecast","Goals","Mission","Preconditions","Priority","References","Section","Section Depth","Section Description","Section Hierarchy","Steps","Steps","Steps (Additional Info)","Steps (Expected Result)","Steps (References)","Steps (Shared step ID)","Steps (Step)","Suite","Suite ID","Template","Type","Updated By","Updated On"
"C34","כניסה למערכת","Barak Barnovsky","5/10/2022 5:22 PM","","","","","","
משתמשים וסיסמאות תקינים 
הרשאות המשתמשים מוגדרים לפי סוג תפקידם","Medium","","barak","0","","barak","1. הזן שם משתמש וסיסמא תקינים
Expected Result:
כניסה לאזור האישי במערכת וגישה לפונקציות הרלוונטיות בהתאם לתפקיד","","1.","1. כניסה לאזור האישי במערכת וגישה לפונקציות הרלוונטיות בהתאם לתפקיד","1.","1.","1. הזן שם משתמש וסיסמא תקינים","Master","S1","Test Case (Steps)","Security","Barak Barnovsky","5/11/2022 7:48 AM"
"C1","קליטת הזמנה חדשה  - לקוח רגיל","Barak Barnovsky","5/9/2022 7:33 AM","","","","","","שם משתמש וסיסמא תקינים של איש מכירות","High","","barak","0","","barak","1. היכנס למערכת על ידי הקלדת שם משתמש וסיסמא שקיבלתי בתנאי הקדם


Expected Result:
שם משתמש וסיסמא תקינים
2. בתפריט הראשי בחר באפשרות של הזמנות רגילות
Expected Result:
מסך קליטה של הזמנות יופיע בהצלחה","","1. 
2.","1. שם משתמש וסיסמא תקינים
2. מסך קליטה של הזמנות יופיע בהצלחה","1. 
2.","1. 
2.","1. היכנס למערכת על ידי הקלדת שם משתמש וסיסמא שקיבלתי בתנאי הקדם


2. בתפריט הראשי בחר באפשרות של הזמנות רגילות","Master","S1","Test Case (Steps)","Functional","Barak Barnovsky","5/10/2022 8:18 PM"
"C4","עידכון/ביטול פרטי הזמנה-לקוח רגיל","Barak Barnovsky","5/9/2022 7:39 AM","","","","","","שם משתמש וסיסמא תקינים של איש מכירות","High","","barak","0","","barak","1. היכנס למערכת על ידי הקלדת שם משתמש וסיסמא שקיבלתי בתנאי הקדם
Expected Result:
שם משתמש וסיסמא תקינים 
2. במסך בחר באפשרות של עידכון פרטי הזמנה
Expected Result:
עידכון הזמנה יבוצע בהצלחה
3. במסך בחר באפשרות של ביטול פרטי הזמנה
Expected Result:
ביטול הזמנה יבוצע בהצלחה","","1. 
2. 
3.","1. שם משתמש וסיסמא תקינים 
2. עידכון הזמנה יבוצע בהצלחה
3. ביטול הזמנה יבוצע בהצלחה","1. 
2. 
3.","1. 
2. 
3.","1. היכנס למערכת על ידי הקלדת שם משתמש וסיסמא שקיבלתי בתנאי הקדם
2. במסך בחר באפשרות של עידכון פרטי הזמנה
3. במסך בחר באפשרות של ביטול פרטי הזמנה","Master","S1","Test Case (Steps)","Functional","Barak Barnovsky","5/11/2022 5:10 AM"
"C9","הזמנת פריטים אשר נמצאים במאגר-מסך קליטת הזמנות","Barak Barnovsky","5/9/2022 7:42 AM","","","","","","שם משתמש וסיסמא תקינים של איש מכירות
מסך קליטת הזמנות נפתח בהצלחה","Medium","","barak","0","","barak","1. כנס לחלון מסך קליטת הזמנות
Expected Result:
חלון קליטת ההזמנות נפתח בהצלחה
2. לחץ על הזמנה שנקלטה 
Expected Result:
הפריט שהוזמן נבדק מול מאגר הנתונים וזמין במלאי","","1. 
2.","1. חלון קליטת ההזמנות נפתח בהצלחה
2. הפריט שהוזמן נבדק מול מאגר הנתונים וזמין במלאי","1. 
2.","1. 
2.","1. כנס לחלון מסך קליטת הזמנות
2. לחץ על הזמנה שנקלטה","Master","S1","Test Case (Steps)","Other","Barak Barnovsky","5/11/2022 3:18 AM"
"C11","הזמנת פריטים אשר לא נמצאים במאגר-מסך קליטת הזמנות","Barak Barnovsky","5/9/2022 7:43 AM","","","","","","שם משתמש וסיסמא תקינים של איש מכירות
מסך קליטת הזמנות נפתח בהצלחה","High","","barak","0","","barak","1. כנס לחלון מסך קליטת הזמנות
Expected Result:
מסך קליטת ההזמנות נפתח בהצלחה
2. לחץ על הזמנה שנקלטה
Expected Result:
הפריט שהוזמן נבדק מול מאגר הנתונים ולא זמין במלאי","","1. 
2.","1. מסך קליטת ההזמנות נפתח בהצלחה
2. הפריט שהוזמן נבדק מול מאגר הנתונים ולא זמין במלאי","1. 
2.","1. 
2.","1. כנס לחלון מסך קליטת הזמנות
2. לחץ על הזמנה שנקלטה","Master","S1","Test Case (Steps)","Functional","Barak Barnovsky","5/11/2022 3:42 AM"
"C12","הזמנת פריטים אשר חלקם נמצאים במאגר-מסך קליטת הזמנות","Barak Barnovsky","5/9/2022 7:44 AM","","","","","","שם משתמש וסיסמא תקינים של איש מכירות
מסך קליטת הזמנות נפתח בהצלחה","High","","barak","0","","barak","1. כנס לחלון מסך קליטת הזמנות
Expected Result:
מסך קליטת ההזמנות נפתח בהצלחה
2. בחר ממסך קליטת ההזמנות, 3 הזמנות שונות לפחות שלכל הזמנה מעל 5 פריטים בזמנה
Expected Result:

במידה ויותר מפריט אחד אינו נמצא בכמות מספקת, ייקבע תאריך האספקה כתאריך האספקה הבא למלאי","","1. 
2.","1. מסך קליטת ההזמנות נפתח בהצלחה
2. 
במידה ויותר מפריט אחד אינו נמצא בכמות מספקת, ייקבע תאריך האספקה כתאריך האספקה הבא למלאי","1. 
2.","1. 
2.","1. כנס לחלון מסך קליטת הזמנות
2. בחר ממסך קליטת ההזמנות, 3 הזמנות שונות לפחות שלכל הזמנה מעל 5 פריטים בזמנה","Master","S1","Test Case (Steps)","Functional","Barak Barnovsky","5/11/2022 7:08 AM"
"C35","ביצוע של הזמנת פריטים מעורבים אשר תאריך האספקה שלהם יתבצע עפ""י הפריט המאוחר מביניהם","Barak Barnovsky","5/11/2022 3:51 AM","","","","","","שם משתמש וסיסמא תקינים של איש מכירות
הזמנה שמורה כפתוחה","Medium","","barak","0","","barak","1. כנס לחלון מסך קליטת הזמנות
Expected Result:
מסך קליטת ההזמנות נפתח בהצלחה
2. בחר הזמנה בסטטוס שמורה כפתוחה
ונסה לפצל אותה ולספק חלק ממנה
Expected Result:
לא ניתן לספק חלק מההזמנה שבמלאיֿ
תאריך האספקה יהיה תאריך האספקה הבא למלאי (של הפריט) - המאוחר מביניהם","","1. 
2.","1. מסך קליטת ההזמנות נפתח בהצלחה
2. לא ניתן לספק חלק מההזמנה שבמלאיֿ
תאריך האספקה יהיה תאריך האספקה הבא למלאי (של הפריט) - המאוחר מביניהם","1. 
2.","1. 
2.","1. כנס לחלון מסך קליטת הזמנות
2. בחר הזמנה בסטטוס שמורה כפתוחה
ונסה לפצל אותה ולספק חלק ממנה","Master","S1","Test Case (Steps)","Functional","Barak Barnovsky","5/11/2022 4:12 AM"
"C3","הוספת הזמנות עבור לקוח קבוע בסטטוס פעיל","idan shish","5/9/2022 7:37 AM","300s","","300s","","","לקוח קבוע בסטטוס פעיל במערכת
שם משתמש וסיסמה תקינים","High","","Idan","0","","Idan","1. בחירה במסך הראשי באופציה קליטת לקוח קבוע
Expected Result:
מסך קליטת לקוח קבוע יופיע בהצלחה ![](index.php?/attachments/get/d04497d9-2cd0-46ef-8fe8-98cf1506adc8) 
2. הכנס פרטים אישיים של הלקוח הקבוע [ת.ז, שם, כתובת להובלה, כתובת לדואר, מס' כ""א ותוקף] ולחץ על הזמנה למעבר מסך לקליטת הזמנה.
Expected Result:
מסך קליטת הזמנה קבועה תופיע על המסך ![](index.php?/attachments/get/92d09ffc-d607-4667-8001-321ebc20189f) 
3. לחץ על כפתור הזמנה נוספת
Expected Result:
מסך לביצוע הזמנה נוספת תופיע בהצלחה
4. מילוי פרטי הזמנה קבועה נוספת [תיאור, יחידות, תכיפות, ת. אספקה, ת. פקיעה] ולחיצה על אישור קליטה
Expected Result:
יופיע מסך עם אישור ביצוע ההזמנה הנוספת","","1. 
2. 
3. 
4.","1. מסך קליטת לקוח קבוע יופיע בהצלחה ![](index.php?/attachments/get/d04497d9-2cd0-46ef-8fe8-98cf1506adc8) 
2. מסך קליטת הזמנה קבועה תופיע על המסך ![](index.php?/attachments/get/92d09ffc-d607-4667-8001-321ebc20189f) 
3. מסך לביצוע הזמנה נוספת תופיע בהצלחה
4. יופיע מסך עם אישור ביצוע ההזמנה הנוספת","1. 
2. 
3. 
4.","1. 
2. 
3. 
4.","1. בחירה במסך הראשי באופציה קליטת לקוח קבוע
2. הכנס פרטים אישיים של הלקוח הקבוע [ת.ז, שם, כתובת להובלה, כתובת לדואר, מס' כ""א ותוקף] ולחץ על הזמנה למעבר מסך לקליטת הזמנה.
3. לחץ על כפתור הזמנה נוספת
4. מילוי פרטי הזמנה קבועה נוספת [תיאור, יחידות, תכיפות, ת. אספקה, ת. פקיעה] ולחיצה על אישור קליטה","Master","S1","Test Case (Steps)","Functional","idan shish","5/10/2022 2:50 PM"
"C6","עדכון פרטי כרטיס אשראי עבור לקוח קבוע בסטטוס מוקפא","idan shish","5/9/2022 7:40 AM","300s","","300s","","","שם משתמש וסיסמה תקינים
לקוח קבוע בסטטוס מוקפא
כרטיס אשראי תקין","Medium","","Idan","0","","Idan","1. בחר בתפריט הראשי באופציה טיפול בלקוחות קבועים
Expected Result:
ייפתח חלון בהצלחה עם כל האופציות לטיפול בלקוח קבוע
2. בחר באופציה עדכון פרטי לקוח
Expected Result:
ייפתח בהצלחה חלון לעדכון פרטי לקוח קבוע![](index.php?/attachments/get/0e0109f9-5ca8-4530-826e-e2ef15f0c0eb) 
3. עדכון פרטי כ""א [מספר אשראי ותוקף] ולחץ על עדכון בסיום
Expected Result:
יופיע בהצלחה מסך אישור של פרטי הלקוח הקבוע","","1. 
2. 
3.","1. ייפתח חלון בהצלחה עם כל האופציות לטיפול בלקוח קבוע
2. ייפתח בהצלחה חלון לעדכון פרטי לקוח קבוע![](index.php?/attachments/get/0e0109f9-5ca8-4530-826e-e2ef15f0c0eb) 
3. יופיע בהצלחה מסך אישור של פרטי הלקוח הקבוע","1. 
2. 
3.","1. 
2. 
3.","1. בחר בתפריט הראשי באופציה טיפול בלקוחות קבועים
2. בחר באופציה עדכון פרטי לקוח
3. עדכון פרטי כ""א [מספר אשראי ותוקף] ולחץ על עדכון בסיום","Master","S1","Test Case (Steps)","Functional","idan shish","5/10/2022 2:34 PM"
"C7","קליטת פרטי לקוח קבוע","idan shish","5/9/2022 7:41 AM","300s","","300s","","","שם משתמש וסיסמה תקינים
פרטי לקוח קבוע תקינים
פרטי הזמנה קבועה תקינים
כרטיס אשראי תקין","High","","Idan","0","","Idan","1. בחר במסך הראשי באופציה טיפול בלקוחות קבועים
Expected Result:
ייפתח חלון עם כל האפשרויות עבור לקוחות קבועים
2. בחר באופציה קליטת לקוח חדש
Expected Result:
ייפתח בהצלחה חלון לקליטת לקוח קבוע![](index.php?/attachments/get/3d63c9c7-06ba-4890-acbf-d7c88efc66b2)
3. מלא את כל פרטי הלקוח [שם, ת.ז, כתובת להובלה, כתובת דואר, ופרטי כ""א] בסיום לחץ על הזמנה
Expected Result:
ייפתח בהצלחה חלון לקליטת הזמנה קבועה![](index.php?/attachments/get/042f4c61-d90e-450f-b4ba-a105153ff0c8)
4. מלא את פרטי ההזמנה הקבועה[תיאור מוצר, מס' יחידות, תכיפות, ת.פקיעה, ת.אספקה] ובסיום לחץ על אישור קליטה
Expected Result:
ייפתח בהצלחה חלון המאשר את פרטי הלקוח הקבוע והזמנתו הקבועה","","1. 
2. 
3. 
4.","1. ייפתח חלון עם כל האפשרויות עבור לקוחות קבועים
2. ייפתח בהצלחה חלון לקליטת לקוח קבוע![](index.php?/attachments/get/3d63c9c7-06ba-4890-acbf-d7c88efc66b2)
3. ייפתח בהצלחה חלון לקליטת הזמנה קבועה![](index.php?/attachments/get/042f4c61-d90e-450f-b4ba-a105153ff0c8)
4. ייפתח בהצלחה חלון המאשר את פרטי הלקוח הקבוע והזמנתו הקבועה","1. 
2. 
3. 
4.","1. 
2. 
3. 
4.","1. בחר במסך הראשי באופציה טיפול בלקוחות קבועים
2. בחר באופציה קליטת לקוח חדש
3. מלא את כל פרטי הלקוח [שם, ת.ז, כתובת להובלה, כתובת דואר, ופרטי כ""א] בסיום לחץ על הזמנה
4. מלא את פרטי ההזמנה הקבועה[תיאור מוצר, מס' יחידות, תכיפות, ת.פקיעה, ת.אספקה] ובסיום לחץ על אישור קליטה","Master","S1","Test Case (Steps)","Functional","idan shish","5/10/2022 2:48 PM"
"C8","ביצוע תשלום בכרטיס אשראי תקין","idan shish","5/9/2022 7:42 AM","300s","","300s","","","שם משתמש וסיסמה תקינים
כרטיס אשראי תקין
קורא כרטיסים תקין[ש.ב.א]
פרטי הזמנה תקינים","High","","Idan","0","","Idan","1. בתפריט הראשי לחץ על טיפול בהזמנה לקוח רגיל וקליטת הזמנה חדשה
Expected Result:
מסך קליטת הזמנה ייפתח בהצלחה![](index.php?/attachments/get/3b189e33-77ec-4d1f-9bd6-6e79502381a3) 
2. מלא פרטי הזמנה [ת.אספקה תיאור, יחידות, כתובת למשלוח, סוג משלוח] ולחץ תשלום לסיום
Expected Result:
מסך תשלום ייפתח בהצלחה ![](index.php?/attachments/get/485d552e-a659-40ac-87f7-0ce01a5d21e9)
3. בחר באופציה של כרטיס אשראי, מלא את פרטי האשראי ולאחר מכן לחץ אישור לתשלום
Expected Result:
מסך אישור ההזמנה  יופיע בהצלחה","","1. 
2. 
3.","1. מסך קליטת הזמנה ייפתח בהצלחה![](index.php?/attachments/get/3b189e33-77ec-4d1f-9bd6-6e79502381a3) 
2. מסך תשלום ייפתח בהצלחה ![](index.php?/attachments/get/485d552e-a659-40ac-87f7-0ce01a5d21e9)
3. מסך אישור ההזמנה  יופיע בהצלחה","1. 
2. 
3.","1. 
2. 
3.","1. בתפריט הראשי לחץ על טיפול בהזמנה לקוח רגיל וקליטת הזמנה חדשה
2. מלא פרטי הזמנה [ת.אספקה תיאור, יחידות, כתובת למשלוח, סוג משלוח] ולחץ תשלום לסיום
3. בחר באופציה של כרטיס אשראי, מלא את פרטי האשראי ולאחר מכן לחץ אישור לתשלום","Master","S1","Test Case (Steps)","Functional","idan shish","5/10/2022 3:08 PM"
"C13","ביטול הזמנה קבועה בסטטוס מבוטלת לפני תאריך פקיעת ההזמנה","idan shish","5/9/2022 7:44 AM","300s","","300s","","","שם משתמש וסיסמה תקינים
לקוח קבוע במערכת

","Medium","","Idan","0","","Idan","1. בתפריט הראשי בחר בטיפול בלקוחות קבועים
Expected Result:
ייפתח בהצלחה כל האופציות עבור לקוחות קבועים
2. בחר בקליטת לקוח חדש +הזמנה חדשה
Expected Result:
מסך קליטת לקוח קבוע יופיע בהצלחה![](index.php?/attachments/get/21817031-bc44-4d93-b94f-de5281ea71ee)
3. מלא פרטי לקוח קבוע[ת.ז, שם, כתובת להובלה, כתובת לדואר, פרטי כרטיס אשראי] ולחץ הזמנה בסיום
Expected Result:
![](index.php?/attachments/get/13f4271d-03bd-4482-956f-05a0c0dcef95) מסך קליטת הזמנה קבועה ייפתח בהצלחה
4. מלא פרטי הזמנה קבועה[תיאור, ת. פקיעה, ת. אספקה ותכיפות] בסיום לחץ על אישור קליטה
Expected Result:
מסך עם אישור ההזמנה יופיע בהצלחה
5. חזור על צעד מס' 1
Expected Result:
ייפתח בהצלחה כל האופציות עבור לקוחות קבועים
6. בחר באופציה ביטול הזמנה 
Expected Result:
מסך עדכון/ביטול הזמנה ייפתח בהצלחה![](index.php?/attachments/get/eeb3b48f-1a14-4668-a4f5-04a771381399) 
7. בחר בהזמנה בסטטוס מבוטלת שטרם הגיעה לתאריך פקיעת ההזמנה שלה ולחץ על ביטול הזמנה
Expected Result:
יופיע חלון עם אישור על ביטול ההזמנה","","1. 
2. 
3. 
4. 
5. 
6. 
7.","1. ייפתח בהצלחה כל האופציות עבור לקוחות קבועים
2. מסך קליטת לקוח קבוע יופיע בהצלחה![](index.php?/attachments/get/21817031-bc44-4d93-b94f-de5281ea71ee)
3. ![](index.php?/attachments/get/13f4271d-03bd-4482-956f-05a0c0dcef95) מסך קליטת הזמנה קבועה ייפתח בהצלחה
4. מסך עם אישור ההזמנה יופיע בהצלחה
5. ייפתח בהצלחה כל האופציות עבור לקוחות קבועים
6. מסך עדכון/ביטול הזמנה ייפתח בהצלחה![](index.php?/attachments/get/eeb3b48f-1a14-4668-a4f5-04a771381399) 
7. יופיע חלון עם אישור על ביטול ההזמנה","1. 
2. 
3. 
4. 
5. 
6. 
7.","1. 
2. 
3. 
4. 
5. 
6. 
7.","1. בתפריט הראשי בחר בטיפול בלקוחות קבועים
2. בחר בקליטת לקוח חדש +הזמנה חדשה
3. מלא פרטי לקוח קבוע[ת.ז, שם, כתובת להובלה, כתובת לדואר, פרטי כרטיס אשראי] ולחץ הזמנה בסיום
4. מלא פרטי הזמנה קבועה[תיאור, ת. פקיעה, ת. אספקה ותכיפות] בסיום לחץ על אישור קליטה
5. חזור על צעד מס' 1
6. בחר באופציה ביטול הזמנה 
7. בחר בהזמנה בסטטוס מבוטלת שטרם הגיעה לתאריך פקיעת ההזמנה שלה ולחץ על ביטול הזמנה","Master","S1","Test Case (Steps)","Functional","idan shish","5/10/2022 4:04 PM"
"C15","[שלילי]הוספת הזמנות עבור לקוח קבוע בסטטוס לא פעיל","idan shish","5/9/2022 7:47 AM","300s","","300s","","","שם משתמש וסיסמה תקינים
לקוח קבוע בסטטוס לא פעיל

","High","","Idan","0","","Idan","1. בתפריט הראשי בחר באופציה טיפול בלקוחות קבועים ואז בחר בהוספת הזמנה קבועה חדשה
Expected Result:
ייפתח בהצלחה חלון לקליטת הזמנה קבועה חדשה![](index.php?/attachments/get/3384a053-7a56-421b-bd28-0507cc9ccf64) 
2. מלא פרטי הזמנה קבועה[תיאור, יחידות, תכיפות, ת. פקיעה, ת.אספקה] ולחץ על אישור קליטה בסיום
Expected Result:
תופיע הודעת שגיאה בעקבות שהלקוח נמצא בסטטוס לא פעיל","","1. 
2.","1. ייפתח בהצלחה חלון לקליטת הזמנה קבועה חדשה![](index.php?/attachments/get/3384a053-7a56-421b-bd28-0507cc9ccf64) 
2. תופיע הודעת שגיאה בעקבות שהלקוח נמצא בסטטוס לא פעיל","1. 
2.","1. 
2.","1. בתפריט הראשי בחר באופציה טיפול בלקוחות קבועים ואז בחר בהוספת הזמנה קבועה חדשה
2. מלא פרטי הזמנה קבועה[תיאור, יחידות, תכיפות, ת. פקיעה, ת.אספקה] ולחץ על אישור קליטה בסיום","Master","S1","Test Case (Steps)","Functional","idan shish","5/10/2022 3:20 PM"
"C20","עדכון פרטי הזמנה עבור לקוח אקראי אשר עדיין לא שולמה","idan shish","5/9/2022 7:48 AM","300s","","300s","","","שם משתמש וסיסמה תקינים
לקוח אקראי במערכת
הזמנה של לקוח אקראי שטרם שולמה במאגר","High","","Idan","0","","Idan","1. בתפריט הראשי בחר באופציה טיפול בהזמנה לקוח רגיל
Expected Result:
ייפתח לנו כל האופציות עבור טיפול בלקוח רגיל בהצלחה
2. בחר באופציה קליטת הזמנה חדשה
Expected Result:
מסך קליטת הזמנה ייפתח בהצלחה![](index.php?/attachments/get/0d4081d6-a5a8-429f-bbed-8770fd206d43) 
3. מלא פרטי הזמנה [תיאור, מספר יחידות, סוג משלוח, כתובת למשלוח] בסיום לחץ על אישור קליטה
Expected Result:
מסך עם אישור הזמנה יופיע בהצלחה
4. חזור לתפריט הראשי ובחר בעדכון פרטי הזמנה
Expected Result:
מסך עדכון/ביטול הזמנה ייפתח בהצלחה![](index.php?/attachments/get/2857a297-68ab-459e-ae56-6bd893fcd85f) 
5. עדכן את כתובת המשלוח בהזמנה ובסיום לחץ על עדכון הזמנה
Expected Result:
חלון יופיע עם אישור על עדכון ההזמנה","","1. 
2. 
3. 
4. 
5.","1. ייפתח לנו כל האופציות עבור טיפול בלקוח רגיל בהצלחה
2. מסך קליטת הזמנה ייפתח בהצלחה![](index.php?/attachments/get/0d4081d6-a5a8-429f-bbed-8770fd206d43) 
3. מסך עם אישור הזמנה יופיע בהצלחה
4. מסך עדכון/ביטול הזמנה ייפתח בהצלחה![](index.php?/attachments/get/2857a297-68ab-459e-ae56-6bd893fcd85f) 
5. חלון יופיע עם אישור על עדכון ההזמנה","1. 
2. 
3. 
4. 
5.","1. 
2. 
3. 
4. 
5.","1. בתפריט הראשי בחר באופציה טיפול בהזמנה לקוח רגיל
2. בחר באופציה קליטת הזמנה חדשה
3. מלא פרטי הזמנה [תיאור, מספר יחידות, סוג משלוח, כתובת למשלוח] בסיום לחץ על אישור קליטה
4. חזור לתפריט הראשי ובחר בעדכון פרטי הזמנה
5. עדכן את כתובת המשלוח בהזמנה ובסיום לחץ על עדכון הזמנה","Master","S1","Test Case (Steps)","Functional","idan shish","5/10/2022 3:49 PM"
"C10","ביצוע הזמנה עם כרטיס מוקפא/דחוי","karin sudri","5/9/2022 7:43 AM","","","","","","Authorized Username Password
Access to DB of clients
Demo account","Medium","","karin","0","","karin","1. Make an order as a client with a rejected visa
Expected Result:
Order fail
Log visa per client: update client status according to the number of rejections 1,2\3:","","1.","1. Order fail
Log visa per client: update client status according to the number of rejections 1,2\3:","1.","1.","1. Make an order as a client with a rejected visa","Master","S1","Test Case (Steps)","Other","karin sudri","5/9/2022 8:01 AM"
"C16","נסיון הפקת הזמנה לפריטים במלאי בתאריך גדול מתאריך הריצה","karin sudri","5/9/2022 7:47 AM","","Order succeed, schedule date is next year","","","","Authorized Username Password
Access to DB of clients
Demo account","Medium","","karin","0","","karin","","Make an order for available products [in stock] for next year","","","","","","Master","S1","Test Case (Text)","Other","karin sudri","5/9/2022 8:05 AM"
"C17","נסיון הפקת הזמנה לפריטים במלאי בתאריך =תאריך הריצה","karin sudri","5/9/2022 7:47 AM","","Order succeed
Date would be updated for tomorrow ","","","","Authorized Username Password
Access to DB of clients
Demo account","Medium","","karin","0","","karin","","Make an order for available products, 
Arrival date should be today","","","","","","Master","S1","Test Case (Text)","Other","karin sudri","5/9/2022 8:08 AM"
"C18","נסיון [הדפסה [חשבוניות","karin sudri","5/9/2022 7:48 AM","","succeed","","","","Authorized Username Password
Access to DB of clients
Demo account","Medium","","karin","0","","karin","","Print receipts ","","","","","","Master","S1","Test Case (Text)","Other","karin sudri","5/9/2022 8:09 AM"
"C21","נסיון הפקת הזמנה  כשפריטים לא במלאי","karin sudri","5/9/2022 7:51 AM","","Order succeed
order is kept in a standby orders [waiting for available stock]","","","","Authorized Username Password
Access to DB of clients
Demo account","Medium","","karin","0","","karin","","Make an order for non available products [not in stock]","","","","","","Master","S1","Test Case (Text)","Other","karin sudri","5/9/2022 8:12 AM"
"C22","נסיון הפקת הזמנה כשפריטים לא במלאי ובדיקת כמות שמורה של פריטים","karin sudri","5/9/2022 7:51 AM","","A separated DB was updated with the standby amount needed
Available products wasn't updated
Same product [as in the order] amount- wasn't updated
Order succeeded, in standby","","","","Authorized Username Password
Access to DB of clients
Demo account","Medium","","karin","0","","karin","","Make an order for a non available products 

","","","","","","Master","S1","Test Case (Text)","Other","karin sudri","5/9/2022 8:17 AM"
"C23","קליטת הזמנה עם כמות להזמנות קבועות","karin sudri","5/9/2022 7:52 AM","","succeed
A new order was updated for day x in each month , with a y amount ","","","","Authorized Username Password
Access to DB of clients
Demo account","Medium","","karin","0","","karin","","Make an order for permanent amount & day of the month

","","","","","","Master","S1","Test Case (Text)","Other","karin sudri","5/9/2022 8:20 AM"
"C24","הפקת תאריך אספקה הבא","karin sudri","5/9/2022 7:53 AM","","The system had created a date for the next supply ","","","","Authorized Username Password
Access to DB of clients
Demo account","Medium","","karin","0","","karin","","Test for continues date of Supply","","","","","","Master","S1","Test Case (Text)","Other","karin sudri","5/9/2022 8:22 AM"
"C25","נסיון לבצע הזמנה פגת תוקף","karin sudri","5/9/2022 7:53 AM","","Order failed","","","","Authorized Username Password
Access to DB of clients
Demo account","Medium","","karin","0","","karin","","Refresh an expired order

","","","","","","Master","S1","Test Case (Text)","Other","karin sudri","5/9/2022 8:24 AM"
"C26","נסיון לעדכן מספר אוצווה בהזמנות","karin sudri","5/9/2022 7:54 AM","","failed - batch number is created by the system and not the user","","","","Authorized Username Password
Access to DB of clients
Demo account","Medium","","karin","0","","karin","","Try to update an order batch number","","","","","","Master","S1","Test Case (Text)","Other","karin sudri","5/9/2022 8:31 AM"
"C27","נסיון לבצע הזמנה ללקוח מבוטל","karin sudri","5/9/2022 7:55 AM","","failed","","","","Authorized Username Password
Access to DB of clients
Demo account","Medium","","karin","0","","karin","","Make an order for a canceled client","","","","","","Master","S1","Test Case (Text)","Other","karin sudri","5/9/2022 8:25 AM"
"C28","נסיון לעדכן סטטוס הזמנה","karin sudri","5/9/2022 7:55 AM","","Failed","","","","Authorized Username Password
Access to DB of clients
Demo account","Medium","","karin","0","","karin","","Update an order status","","","","","","Master","S1","Test Case (Text)","Other","karin sudri","5/9/2022 8:26 AM"
"C36","תהליך האצווה עובר אך ורק על הזמנות בסטטוס ""פעיל"" עם לקוח בסטטוס ""פעיל""","roy nuriani","5/12/2022 9:46 AM","600s","","600s","","","
הכן תהליך BATCH ל","Medium","","roy","0","","roy","","","","","","","","Master","S1","Test Case (Steps)","Functional","roy nuriani","5/12/2022 11:13 AM"
"C37","תהליך האצווה להזמנות קבועות עובר רק על ההזמנות הרלוונטיות לתאריך ביצוע האצווה","roy nuriani","5/12/2022 11:14 AM","","","","","","","Medium","","roy","0","","roy","","","","","","","","Master","S1","Test Case (Text)","Other","roy nuriani","5/12/2022 11:52 AM"
"C39","תהליך אצווה להזמנה עם כרטיס אשראי תקין","roy nuriani","5/12/2022 11:26 AM","300s","","300s","","","

הכן תהליך אצווה עם הנתונים הבאים: 
הזמנה קבועה בסטטוס ""פעיל"" ללקוח בסטטוס ""פעיל""
התאריך לביצוע תהליך האצווה יהיה גדול או שווה לתאריך המופיע בהזמנה הקבועה בשדה ""תאריך הבא לאספקה ללקוח"" 
כרטיס אשראי תקין עם מסגרת אשראי תקינה  
","High","","roy","0","","roy","1. הרץ את תהליך האצווה שהכנת מראש
Expected Result:

המערכת תשלח את פרטי כרטיס האשראי של הלקוח לחברת ש.ב.א לקבלת אישור על התשלום.    תגובת ש.ב.א תופיע:
-  אישור התשלום","","1.","1. 
המערכת תשלח את פרטי כרטיס האשראי של הלקוח לחברת ש.ב.א לקבלת אישור על התשלום.    תגובת ש.ב.א תופיע:
-  אישור התשלום","1.","1.","1. הרץ את תהליך האצווה שהכנת מראש","Master","S1","Test Case (Steps)","Functional","roy nuriani","5/19/2022 10:19 AM"
"C38","תהליך אצווה להזמנה עם כרטיס אשראי לא תקין בגין גניבה/אובדן","roy nuriani","5/12/2022 11:22 AM","","","","","","","Medium","","roy","0","","roy","","","","","","","","Master","S1","Test Case (Text)","Other","roy nuriani","5/12/2022 11:49 AM"
"C40","שינוי סטטוס לקוח ל""מבוטל""  בגין חריגות אשראי במהלך תהליך אצווה","roy nuriani","5/12/2022 11:30 AM","","","","","","","Medium","","roy","0","","roy","","","","","","","","Master","S1","Test Case (Text)","Other","roy nuriani","5/12/2022 11:30 AM"
"C41","קבלת סטטוס ""פג תוקף"" להזמנות שפג תוקפן במהלך תהליך אצווה","roy nuriani","5/12/2022 11:42 AM","","","","","","","Medium","","roy","0","","roy","","","","","","","","Master","S1","Test Case (Text)","Other","roy nuriani","5/12/2022 11:42 AM"
"C42","תהליך האצווה מפיק הזמנות לאספקה רק עבור פריטים רלוונטיים","roy nuriani","5/12/2022 11:55 AM","","","","","","","Medium","","roy","0","","roy","","","","","","","","Master","S1","Test Case (Text)","Other","roy nuriani","5/12/2022 11:55 AM"
